"","상권_코드","화장품","문구점","약국","패션잡화","의류점","과일채소","정육점","휴대폰","컴퓨터판매수리","편의점","슈퍼마켓","자동차미용","자동차수리","세탁소","여관업","피부관리실","네일숍","미용실","헬스클럽","골프연습장","당구장","노래방","인테리어","보육시설","일반의원","한의원","치과의원","예체능학원","외국어학원","입시보습학원","호프간이주점","커피음료","제과점","치킨집","패스트푸드점","분식집","양식집","일식집","중국집","한식음식점"
"908",909,105880970,38483708,206507928,15348253,177207317,699403533,278889021,50594276,55337339,1352367867,2092847829,53962161,546866187,78143856,105682340,21271902,4709711,198113066,33972581,25261432,25205785,224299847,567343320,161066943,2229291021,159456642,345006483,102077487,26794290,83364148,453794623,128539403,130186718,221666861,125200084,296362992,127915584,369323848,661164306,2185640143
"909",910,324867304,12503004,365636982,112954211,521345792,623393876,391143421,12688110,225510406,1468220599,2087279947,67788131,739135496,30825005,212157043,28753362,7247531,380847567,67294422,110705841,45010474,321031150,957514483,193001232,3410788778,198644959,622163464,96051905,12804878,140760626,887971593,173039763,299030666,223488120,74952589,457792037,184773677,704145152,933192929,3425228475
"910",911,233369272,42109693,548976566,40911315,288909630,906495708,375294139,56379533,55337339,1557394747,2401440265,64681974,880473153,118702836,188457873,35255241,32091093,314358082,118736914,122762538,94261475,349747198,711435526,168778525,3660649468,251869171,874514468,115679920,26794290,83364148,798954507,288984344,261778424,306239364,150219266,553131325,218912067,677346712,915327656,3849904539
"911",912,328906241,22833422,346167681,110751890,440791169,685410706,347478408,9234043,230138161,1722624821,1583139497,9092711,631840878,55385929,94091513,67598599,9536398,266534481,131716479,49554719,47456985,338875863,988666281,155615792,3582745703,143981246,450878574,87980814,66116510,134131957,800121670,371202405,253809801,292435185,255532259,432224946,253625749,729880961,960863293,3729302437
"912",913,350321429,124187637,357250763,36493986,670225586,728155693,290749134,805232463,351618600,2678739951,1776479529,29874526,951624245,109925353,510371624,34964153,7116526,354351029,130101449,17175774,65626800,471639514,774424535,196973284,3488548378,87060834,646167663,102077487,26794290,181801130,755708599,469969082,189792149,449033190,463874887,762296539,551833039,1018292710,979974254,5078226574
"913",914,675218407,200127995,650300308,156179929,944002628,358442686,128195871,55887858,380299994,2522159518,1589836174,24878657,478516931,30821060,606974402,283627407,18831140,657287431,348949992,209164479,139054960,790190052,752730690,96489060,3974992824,98962331,894756966,246570307,202288481,110411519,2066621139,1240127905,599452922,501661199,616910611,967667301,1136607190,2706180522,1166484022,10431591120
"914",915,313095618,3497201,654846695,63860787,684476318,48592862,210816922,16003966,157888011,1092267093,1160538242,13309503,200038305,56322982,494959443,175077959,8342596,451223040,106103164,57358680,11568601,413257825,192038739,104710569,2026399150,235524433,420562363,120236339,43383632,42282034,658163117,325802812,411128609,190853576,251697864,245932082,173990600,404968629,1857327888,2952731411
"918",919,208363914,186454345,417315847,80904362,666640969,168468208,88622750,8186817,5356851,816064304,901146879,62692802,542587419,94091365,182818371,143549609,5192308,258803330,164263010,28267014,42730168,139030671,648928505,203702070,599143854,231925493,676185130,760167367,252523469,790509726,557277381,269885488,251554439,169830939,432160290,384590230,205509980,1017088464,409333600,3990905244
"919",920,312617057,186289226,724615726,102325273,718221107,242905495,185801526,16808231,5093745,896961375,1691009529,52664039,567503546,78264824,181662705,149409431,5192308,421292317,210620070,28267014,46093876,229088953,315031123,300965777,740911743,293494281,782268387,795817410,256826538,792440238,715721549,321960321,266368668,254478760,453860537,480017322,173279091,1084731078,539142324,4705037585
"920",921,413495932,42948766,844993500,135619513,883827803,412101702,358842286,25737225,5481097,1007817490,1611968472,20458187,230511323,63927075,237864191,126979194,3734573,432272034,131796457,28267014,23642878,227745308,450895163,427908268,2635806046,382450270,924738041,553623076,91169771,495895038,666531781,375353922,276287122,285707565,248292882,449681631,237451646,1141150472,503134559,4445884500
"921",922,405126837,42948766,796614915,104221810,816179320,406259600,287742909,20169260,3537709,889171696,942634122,19148849,356027604,63195880,236200441,122873931,3734573,367575821,172747422,28267014,21599019,171802751,246088133,314266884,2598804436,324427454,921078092,531262135,91169771,555451117,595207569,346603731,259390455,266371358,213440322,351429296,223773857,1023655772,494068943,4043699527
